施設ID,施設名,郵便番号,住所,方書,電話番号,FAX番号,緯度,経度,行政区コード,カテゴリリスト
1,神戸市役所,650-8570,中央区加納町6-5-1,,078-331-8181（代）,,34.689454,135.195739,中央区,市役所・区役所
2,東灘区役所,658-8570,東灘区住吉東町5-2-1,,078-841-4131（代）,078-811-4901,34.720263,135.265452,東灘区,市役所・区役所
3,灘区役所,657-8570,灘区桜口町4-2-1,,078-843-7001（代）,078-843-7034,34.712348,135.239685,灘区,市役所・区役所
4,中央区役所,651-8570,中央区雲井通5-1-1,,078-232-4411（代）,078-242-3599 ,34.695102,135.197783,中央区,市役所・区役所
5,中央区三宮証明サービスコーナー,650-0021,中央区三宮町1-10-1,JR「三ノ宮駅」西口南側・交通センタービル2階,078-333-1211,,34.693266,135.193881,中央区,市役所・区役所
6,兵庫区役所,652-8570,兵庫区荒田町1-21-1,,078-511-2111（代）,078-511-5331,34.680611,135.165258,兵庫区,市役所・区役所
7,北区役所,651-1114,北区鈴蘭台西町1-25-1,,078-593-1111（代）,078-593-6232,34.727253,135.144387,北区,市役所・区役所
8,北区山田連絡所,651-1232,北区松が枝町2-1-4,,078-581-1001,078-586-2005,34.759205,135.153172,北区,市役所・区役所
9,北区北神出張所,651-1302,北区藤原台中町1-2-1,北神中央ビル4階,078-981-5377,078-981-5420,34.821076,135.221682,北区,市役所・区役所
10,北区有馬連絡所,651-1401,北区有馬町241-1,,078-904-0081,078-907-2003,34.800049,135.247335,北区,市役所・区役所
11,北区道場連絡所,651-1502,北区道場町塩田1418,,078-985-2381,078-984-2010,34.866945,135.231031,北区,市役所・区役所
12,北区八多連絡所,651-1343,北区八多町附物782-7,,078-982-0002,078-984-2008,34.826317,135.199012,北区,市役所・区役所
13,北区大沢連絡所,651-1524,北区大沢町中大沢1000,,078-954-0301,078-950-7000,34.854321,135.166189,北区,市役所・区役所
14,北区長尾連絡所,651-1511,北区長尾町宅原319-2,,078-986-2581,078-984-2009,34.874008,135.209208,北区,市役所・区役所
15,北区淡河連絡所,651-1614,北区淡河町木津字尾通54,,078-959-0131,078-950-5000,34.816241,135.112142,北区,市役所・区役所
16,北区役所保健福祉部（北神担当）,651-1302,北区藤原台中町1-2-1,北神中央ビル2・4階,078-981-8870（あんしんすこやか係・保護係）078-981-1748（子）,北神保健福祉課（あんしんすこやか係）（保護係）078-984-2334,34.821076,135.221682,北区,市役所・区役所
17,長田区役所,653-8570,長田区北町3-4-3,,078-579-2311（代）,078-579-2301,34.665785,135.150796,長田区,市役所・区役所
18,須磨区役所,654-8570,須磨区大黒町4-1-1,,078-731-4341（代）,078-732-0728,34.658941,135.133628,須磨区,市役所・区役所
19,須磨区北須磨支所市民課,654-0195,須磨区中落合2-2-5,名谷センタービル4階,078-793-1212（代）,,34.678222,135.093639,須磨区,市役所・区役所
20,須磨区北須磨支所保健福祉課,654-0195,須磨区中落合2-2-5,名谷センタービル5階,078-793-1313（代）,,34.678222,135.093639,須磨区,市役所・区役所
21,垂水区役所,655-8570,垂水区日向1-5-1,,078-708-5151（代）,078-708-7450,34.63028,135.056872,垂水区,市役所・区役所
22,垂水区役所明舞サービスコーナー,673-0862,明石市松が丘2-3-7,松が丘ビル2階（明舞団地内）,078-912-3484,,34.652698,135.025726,市外,市役所・区役所
23,西区役所,651-2195,西区玉津町小山180-3,,078-929-0001（代）,078-929-0030,34.683358,134.981646,西区,市役所・区役所
24,西区伊川谷連絡所,651-2111,西区池上4-15-2,,078-974-0001,078-978-2004,34.674785,135.024576,西区,市役所・区役所
25,西区押部谷連絡所,651-2202,西区押部谷町西盛313,,078-994-1001,078-998-2001,34.75376,135.033587,西区,市役所・区役所
26,西区神出連絡所,651-2313,西区神出町田井50,,078-965-1001,078-964-2000,34.747168,134.990081,西区,市役所・区役所
27,西区岩岡連絡所,651-2401,西区岩岡町岩岡922-1,,078-967-1001,078-969-2002,34.72063,134.94776,西区,市役所・区役所
28,西区西神中央出張所,651-2273,西区糀台5-6-1,西区民センタービル4階,078-992-8100,078-992-8577,34.71795,135.018922,西区,市役所・区役所
29,西区櫨谷連絡所,651-2235,西区櫨谷町長谷71-1,,078-991-1001,078-993-2038,34.707009,135.019712,西区,市役所・区役所
30,西区平野連絡所,651-2265,西区平野町宮前148,,078-961-2001,078-963-2001,34.709053,134.98334,西区,市役所・区役所
31,諸証明自動交付機・六甲ライナー住吉駅,658-0051,東灘区住吉本町1-2　,JR「住吉駅」南側通路,,,34.719485,135.26189,東灘区,市役所・区役所
32,諸証明自動交付機・ＪＲ六甲道駅,657-0027,灘区永手町4-1,JR「六甲道駅」前フォレスタB1,,,34.714923,135.23854,灘区,市役所・区役所
33,諸証明自動交付機・阪神三宮駅,651-0088,中央区小野柄通8-1-8　,阪神「三宮駅」西口改札前,,,34.693158,135.195353,中央区,市役所・区役所
34,諸証明自動交付機・神戸駅,650-0025,中央区相生町3-1-1　,デュオ神戸内,,,34.679066,135.179045,中央区,市役所・区役所
35,諸証明自動交付機・神戸電鉄湊川駅,652-0032,兵庫区荒田町1-20-3　,神戸電鉄「湊川駅」近く,,,34.679,135.16671,兵庫区,市役所・区役所
36,諸証明自動交付機・神戸電鉄鈴蘭台駅,651-1111,北区鈴蘭台北町1-7-17　,神戸電「鉄鈴蘭台駅」近く,,,34.725259,135.146048,北区,市役所・区役所
37,諸証明自動交付機・神戸電鉄岡場駅,651-1302,北区藤原台中町1-1-1　,神戸電鉄「岡場駅」前,,,34.82166,135.222551,北区,市役所・区役所
38,諸証明自動交付機・地下鉄西神・山手線新長田駅,653-0841,長田区松野通1　,地下鉄「新長田駅」改札前,,,34.658574,135.144355,長田区,市役所・区役所
39,諸証明自動交付機・山陽電鉄板宿駅,654-0021,須磨区平田町3-3-10　,山陽「板宿駅」改札前,,,34.660027,135.133917,須磨区,市役所・区役所
40,諸証明自動交付機・地下鉄西神・山手線名谷駅,654-0154,須磨区中落合2-3-1　,地下鉄「名谷駅」近く,,,34.679494,135.094109,須磨区,市役所・区役所
41,諸証明自動交付機・ＪＲ垂水駅,655-0027,垂水区神田町1,JR「垂水駅」前ウエステ垂水1F,,,34.63014,135.05204,垂水区,市役所・区役所
42,諸証明自動交付機・神姫バス西神戸サティ前(H26.12.28まで),651-2135,西区王塚台7-131-1,国道175号イオン西神戸店前,,,34.671568,134.981243,西区,市役所・区役所
43,諸証明自動交付機・地下鉄西神・山手線西神中央駅,651-2273,西区糀台5-4,地下鉄「西神中央駅」近く,,,34.720872,135.019689,西区,市役所・区役所
3137,神戸市役所　2号館,650-8570,中央区加納町6-5-1,,078-331-8181（代）,,34.690224,135.195447,中央区,市役所・区役所
3138,神戸市役所　3号館,650-8570,中央区加納町6-5-1,,078-331-8181（代）,,34.68973,135.194919,中央区,市役所・区役所
